             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          10499005   general 9-charge   bdneff PD       0:00      1 (Priority)
          10499004   general 8-charge   bdneff PD       0:00      1 (Priority)
          10499028   general 15-charg   bdneff PD       0:00      1 (Priority)
          10499027   general 14-charg   bdneff PD       0:00      1 (Priority)
          10499026   general 13-charg   bdneff PD       0:00      1 (Priority)
          10499025   general 12-charg   bdneff PD       0:00      1 (Priority)
          10499024   general 11-charg   bdneff PD       0:00      1 (Priority)
          10499023   general 10-charg   bdneff PD       0:00      1 (Priority)
          10499022   general 9-charge   bdneff PD       0:00      1 (Priority)
          10499021   general 8-charge   bdneff PD       0:00      1 (Priority)
          10499020   general 7-charge   bdneff PD       0:00      1 (Priority)
          10499019   general 6-charge   bdneff PD       0:00      1 (Priority)
          10499018   general 5-charge   bdneff PD       0:00      1 (Priority)
          10499017   general 4-charge   bdneff PD       0:00      1 (Priority)
          10499016   general 3-charge   bdneff PD       0:00      1 (Priority)
          10499015   general 2-charge   bdneff PD       0:00      1 (Priority)
          10499014   general 1-charge   bdneff PD       0:00      1 (Priority)
          10499013   general 0-charge   bdneff PD       0:00      1 (Priority)
          10499042   general 13-charg   bdneff PD       0:00      1 (Priority)
          10499041   general 12-charg   bdneff PD       0:00      1 (Priority)
          10499040   general 11-charg   bdneff PD       0:00      1 (Priority)
          10499039   general 10-charg   bdneff PD       0:00      1 (Priority)
          10499038   general 9-charge   bdneff PD       0:00      1 (Priority)
          10499037   general 8-charge   bdneff PD       0:00      1 (Priority)
          10499036   general 7-charge   bdneff PD       0:00      1 (Priority)
          10499035   general 6-charge   bdneff PD       0:00      1 (Priority)
          10499034   general 5-charge   bdneff PD       0:00      1 (Priority)
          10499033   general 4-charge   bdneff PD       0:00      1 (Priority)
          10499032   general 3-charge   bdneff PD       0:00      1 (Priority)
          10499031   general 2-charge   bdneff PD       0:00      1 (Priority)
          10499030   general 1-charge   bdneff PD       0:00      1 (Priority)
          10499029   general 0-charge   bdneff PD       0:00      1 (Priority)
          10499044   general 15-charg   bdneff PD       0:00      1 (Priority)
          10499043   general 14-charg   bdneff PD       0:00      1 (Priority)
          10499060   general 15-charg   bdneff PD       0:00      1 (Priority)
          10499059   general 14-charg   bdneff PD       0:00      1 (Priority)
          10499058   general 13-charg   bdneff PD       0:00      1 (Priority)
          10499057   general 12-charg   bdneff PD       0:00      1 (Priority)
          10499056   general 11-charg   bdneff PD       0:00      1 (Priority)
          10499055   general 10-charg   bdneff PD       0:00      1 (Priority)
          10499054   general 9-charge   bdneff PD       0:00      1 (Priority)
          10499053   general 8-charge   bdneff PD       0:00      1 (Priority)
          10499052   general 7-charge   bdneff PD       0:00      1 (Priority)
          10499051   general 6-charge   bdneff PD       0:00      1 (Priority)
